시군구별 교통사고(기초),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
"(단위 : 건, 명)",,,,
시도,시군구,2023,2023,2023
시도,시군구,사고[건],사망[명],부상[명]
서울,종로구,988,8,1331
서울,중구,931,3,1194
서울,용산구,996,11,1366
서울,성동구,919,6,1221
서울,동대문구,1674,10,2039
서울,성북구,1256,8,1581
서울,도봉구,530,7,685
서울,은평구,1039,7,1353
서울,서대문구,916,4,1220
서울,마포구,1250,14,1715
서울,강서구,1518,9,2112
서울,구로구,1359,5,1840
서울,영등포구,1900,7,2619
서울,동작구,1242,6,1668
서울,관악구,980,10,1252
서울,강남구,3926,7,5229
서울,강동구,1185,4,1522
서울,송파구,2614,10,3603
서울,서초구,2168,7,3319
서울,양천구,1221,5,1624
서울,중랑구,1268,7,1704
서울,노원구,1366,9,1869
서울,광진구,717,4,899
서울,강북구,972,5,1217
서울,금천구,876,7,1232
부산,중구,320,1,466
부산,서구,440,3,616
부산,동구,487,4,738
부산,영도구,248,4,329
부산,진구,1392,8,1887
부산,동래구,975,10,1253
부산,남구,805,8,1032
부산,북구,562,9,748
부산,해운대구,795,7,1103
부산,사하구,830,10,1018
부산,금정구,718,7,982
부산,강서구,787,12,1128
부산,연제구,669,3,880
부산,수영구,764,3,1015
부산,사상구,649,9,891
부산,기장군,562,5,881
대구,중구,771,5,1133
대구,동구,1587,16,2317
대구,서구,1014,7,1442
대구,남구,493,2,671
대구,북구,1865,14,2614
대구,수성구,1900,10,2791
대구,달서구,2323,13,3152
대구,달성군,861,12,1166
대구,군위군,66,7,102
인천,중구,613,5,851
인천,동구,118,3,144
인천,미추홀구,1337,14,1741
인천,부평구,1201,6,1508
인천,남동구,1580,15,2194
인천,서구,1338,17,1883
인천,연수구,668,9,878
인천,계양구,609,4,882
인천,강화군,158,9,234
인천,옹진군,26,1,32
광주,동구,485,5,674
광주,서구,1746,6,2760
광주,북구,2105,15,3200
광주,광산구,1902,21,2842
광주,남구,734,1,1014
대전,동구,1137,7,1624
대전,중구,1099,7,1542
대전,서구,2432,24,3376
대전,유성구,1771,14,2666
대전,대덕구,959,9,1421
울산,중구,619,6,909
울산,남구,1143,8,1491
울산,동구,436,4,527
울산,북구,737,7,1107
울산,울주군,729,15,1080
세종,세종시,1166,13,1724
경기,수원시,4744,30,6688
경기,성남시,3838,20,5678
경기,의정부시,1529,12,2137
경기,안양시,1263,18,1794
경기,부천시,3478,20,4618
경기,안산시,3733,19,5405
경기,평택시,3479,39,5132
경기,광명시,1047,7,1467
경기,구리시,702,8,1036
경기,양주시,1227,10,1709
경기,여주시,520,12,921
경기,화성시,3352,33,5073
경기,시흥시,2177,23,3329
경기,파주시,1730,20,2459
경기,고양시,3603,26,5296
경기,광주시,2129,18,3233
경기,연천군,176,6,249
경기,포천시,652,15,1112
경기,가평군,357,10,593
경기,양평군,504,9,840
경기,이천시,987,30,1507
경기,용인시,3611,33,5565
경기,안성시,1068,19,1722
경기,김포시,1796,13,2679
경기,동두천시,314,5,412
경기,과천시,151,2,211
경기,군포시,488,5,704
경기,남양주시,1942,21,2920
경기,오산시,998,6,1440
경기,의왕시,364,4,567
경기,하남시,1205,9,1738
강원,춘천시,1251,15,1886
강원,원주시,1423,21,2076
강원,동해시,315,2,441
강원,강릉시,758,19,1057
강원,속초시,362,5,583
강원,태백시,200,1,323
강원,삼척시,200,9,273
강원,홍천군,225,9,466
강원,횡성군,177,15,259
강원,영월군,151,8,257
강원,평창군,176,13,374
강원,정선군,165,7,270
강원,철원군,117,3,178
강원,화천군,86,0,137
강원,양구군,93,3,170
강원,인제군,107,5,191
강원,고성군,111,2,156
강원,양양군,162,3,257
충북,청주시,4337,48,6273
충북,충주시,1026,16,1561
충북,제천시,737,11,1124
